Publication date,URL,Publication date,Author Name,Image URL,Abstract,Abstract Length
2016-12-19,https://www.uni-potsdam.de/de/nachrichten/detail/2016-12-19-hochschulsport-organisiert-benefizaktion-fuer-kinderheim,19.12.2016,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/1/a/csm_D4S_9094_0ev__1ev__2ev_-1ev_fused_HSS_artikel_c725a5855b.jpg,No abstract found.,0
2016-12-20,https://www.uni-potsdam.de/de/nachrichten/detail/2016-12-20-bestuerzung-ueber-geschehnisse-in-berlin,20.12.2016,No author found.,No image found.,No abstract found.,0
2016-12-21,https://www.uni-potsdam.de/de/nachrichten/detail/2016-12-21-weihnachtsgruesse-des-praesidenten,21.12.2016,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/5/9/csm_16-046-winterlicher-campus-am-neuen-palais-foto-karla-fritze_1abc315657.jpg,No abstract found.,0
2016-12-21,https://www.uni-potsdam.de/de/nachrichten/detail/2016-12-21-programm-tagung-raumaneignung-und-raumnutzung,21.12.2016,No author found.,No image found.,No abstract found.,0
2017-01-02,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-02-naechstes-treffen-des-graduiertenkollegs,02.01.2017,No author found.,No image found.,No abstract found.,0
2017-01-04,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-04-ferne-nachbarn-die-astrophysikerin-prof-dr-maria-rosa-cioni-untersucht-die-bewegungen-v,04.01.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/3/f/csm_Milchstra%C3%9Fe_02_cioni_karla_fritze_artikel_34dabea40c.jpg,"Von Europa aus sind sie unsichtbar. Nur von der Südhalbkugel der Erde aus sieht man sie als helle Flecken am südlichen Sternenhimmel. Die Magellanschen Wolken sind Galaxien in direkter Nachbarschaft der Milchstraße und bestehen aus Milliarden von Sternen. Die Astrophysikerin Prof. Dr. Maria-Rosa Cioni hat die Magellanschen Wolken von Potsdam aus dennoch fest im Blick – das VISTA (Visible & Infrared Survey Telescope for Astronomy) ist ihr Auge ins Weltall, das ihr Unmengen an Daten liefert. Vier Meter misst das große Teleskop im Durchmesser. Es steht in der nordchilenischen Atacama-Wüste, auf einem Seitengipfel des Cerro Paranal und ist Teil des Paranal-Observatoriums der Europäischen Südsternwarte (ESO).",713
2017-01-04,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-04-forschungsdatenmanagement-an-der-universitaet-potsdam-umfrage-bis-zum-28-januar-2017,04.01.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/9/b/csm_forschungsdaten_newsartikel_2017-01-04_a74ab07d53.jpg,No abstract found.,0
2017-01-04,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-04-zehn-fragen-fuer-ein-buch-adorno-und-die-kabbala,04.01.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/b/2/csm_IMG_4251_Ansgar_Martins_Foto_privat_artikel_fa986d940f.jpg,"Zehn Fragen für ein Buch – gestellt an Ansgar Martins, Autor von „Adorno und die Kabbala“. Universitätsverlag Potsdam, 2016.",124
2017-01-12,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-12-freiheit-als-verpflichtung-zur-toleranz-neujahrsempfang-mit-politischer-botschaft-1,12.01.2017,No author found.,No image found.,"„Die Freiheit von Forschung und Lehre ist nicht nur ein Privileg, das es zu verteidigen gilt, sondern ein Garant für Frieden, Fortschritt und Wohlstand“, sagte Prof. Oliver Günther, Ph.D. auf dem Neujahrsempfang der Universität Potsdam in Griebnitzsee. Im Beisein von Wissenschaftsministerin Dr. Martina Münch und Festrednerin Dagmar Ziegler (MdB) forderte er dazu auf, diese Freiheit aktiv zu verteidigen. Wie er nahmen auch die beiden Politikerinnen in ihren Ansprachen Bezug auf die aktuellen Entwicklungen im Land und weltweit.",531
2017-01-12,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-12-die-kunst-der-richtigen-reize-wie-das-team-von-milon-unternehmen-fit-macht,12.01.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/2/f/csm__0D43135_milon_karla_fritze_artikel_cc9c2e1d5a.jpg,"„No sports!“– „Kein Sport!“ Das soll der britische Premierminister Winston Churchill – bekannt als Zigarrenraucher und Whiskyliebhaber – gesagt haben, als man ihn fragte, wie er sein hohes Alter erreicht habe. Heute weiß man: Alles Legende! Längst ist klar, dass man Churchill den Satz nur untergeschoben hat. Und dass Sport und Bewegung in richtiger „Dosis“ echte Gesundmacher sind, kommt inzwischen auch bei Krankenkassen und Unternehmen an. Diesem Boom will sich ein junges Gründerteam von der Universität Potsdam zunutze machen. Das Start-up „MILON“ entwickelt gerade für kleine und mittlere Unternehmen ein maßgeschneidertes betriebliches Gesundheitsmanagement (BGM) – und sorgt dann auch noch für dessen Umsetzung.",720
2017-01-13,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-13-abschlusskonferenz-des-bmbf-verbundprojekts-alexander-von-humboldts-amerikanische-reise,13.01.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/b/4/csm_Abschlusskonferenz_Staatsbibliothek_zu_Berlin_artikel_b5b000f946.jpg,"Zum bevorstehenden Abschluss des über drei Jahre vom Bund geförderten Projektes laden das Berliner Teilprojekt „Sicherung, Kontextualisierung und Digitalisierung“ und das Potsdamer Teilprojekt „Genealogie, Chronologie, Epistemologie“ am 17. und 18. Januar zu einer gemeinsamen Konferenz in die Staatsbibliothek zu Berlin ein.",325
2017-01-15,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-15-call-for-papers-international-conference-on-public-policy-icpp-lee-kuan-yew-school-of-p,15.01.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/4/6/csm_icpp_7a9dc99cf5.jpg,No abstract found.,0
2017-01-17,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-17-refugee-teachers-welcome-kann-hochschulperle-des-jahres-werden-abstimmung-per-sms-am-18,17.01.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/5/2/csm_Fl%C3%BCchtlinge_02_foto_karla_fritze_artikel_6e486f8751.jpg,No abstract found.,0
2017-01-18,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-18-wipcad-fellow-jennifer-bansard-at-earth-system-governance-conference-in-nairobi,18.01.2017,No author found.,No image found.,No abstract found.,0
2017-01-18,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-18-guido-reger-gruenderpreis-an-start-up-perfacct-verliehen,18.01.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/b/b/csm_Neujahrsempfang_15_1024x531_3ef1aa586a.jpg,No abstract found.,0
2017-01-18,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-18-wipcad-lecture-series-seeing-like-the-state-in-the-digital-age-18-january-potsdam,18.01.2017,No author found.,No image found.,No abstract found.,0
2017-01-19,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-19-refugee-teachers-welcome-ausgezeichnet,19.01.2017,No author found.,No image found.,No abstract found.,0
2017-01-20,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-20-herzklopfen-stress-im-herzkatheterlabor-und-was-man-dagegen-tun-kann,20.01.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/5/5/csm_Bonaventura_11_Foto_karla_fritze_artikel_699ea2a58b.jpg,"Am „schlagenden Herzen“ arbeiten, während die Patienten bei vollem Bewusstsein sind, Untersuchungen und Eingriffe, ohne den Brustkorb zu öffnen – die technischen Entwicklungen der Kardiologie machen es möglich. Doch auch wenn die Arbeit im Herzkatheterlabor des Klinikum Ernst von Bergmann (EvB) in Potsdam inzwischen professionelle Routine ist, bleibt Stress nicht aus: für Patienten und die behandelnden Ärzte und Mitarbeiter gleichermaßen. Stress, der die Qualität der medizinischen Betreuung ebenso beeinträchtigen kann wie den Zustand und die Rehabilitation der Patienten. Ein gemeinsames Projekt des EvB und von Wissenschaftlern der Universität Potsdam soll dabei helfen, dieses „Herzklopfen“ zu beruhigen.",712
2017-01-23,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-23-10th-fojus-annual-conference-coping-with-ambiguity-university-of-postdam-2324-may-2017,23.01.2017,No author found.,No image found.,No abstract found.,0
2017-01-25,https://www.uni-potsdam.de/de/nachrichten/detail/2017-01-25-ehrung-fuer-projektteam-der-reflectup-app-nominierung-fuer-den-delina-innovationspreis,25.01.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/9/4/csm_Bitkompreis_alexander_knoth_artikel_84e287466f.jpg,"Das Projektteam der Reflect.UP-App hat beim Wettbewerb um den „Innovationspreis für digitale Bildung“ (delina) des Bitkom e.V. in der Kategorie Campus einen der beiden zweiten Plätze belegt und damit nur knapp das Siegertreppchen verfehlt. Über 100 Projekte hatten sich für den begehrten Preis, der in diesem Jahr unter der Schirmherrschaft von Bildungsministerin Prof. Dr. Johanna Wanka stand, beworben. Deutschlands digitaler Dachverbund Bitkom würdigt mit der Auszeichnung besonders innovative Trends und Ideen im Bereich des digitalen Lernens. Ziel ist es, diese sichtbarer zu machen. Der Wettbewerb wurde bereits zum fünften Mal ausgeschrieben und fand auch in den Kategorien Start-up und Professional statt. Die Preisverleihung erfolgte am 24. Januar 2017 im Rahmen der LEARNTEC in Karlsruhe. Alle Sieger und Platzierten präsentieren auf dieser noch bis zum 26. Januar 2017 andauernden internationalen Fachmesse für digitale Bildung ihre Projekte. Der Innovationspreis ging in allen drei Kategorien nach Baden-Württemberg.",1028
2017-02-01,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-01-wipcad-lecture-series-theorising-knowledge-01-february-2017-potsdam,01.02.2017,No author found.,No image found.,No abstract found.,0
2017-02-08,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-08-am-kuerzeren-hebel-verwaltungswissenschaftler-untersuchen-nationale-anti-doping-agentur,08.02.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/7/9/csm_Fotolia_89818604_thanksforbuying_artikel_ba56487b15.jpg,"Nahrungsergänzungsmittel sind möglicherweise der Einstieg. Wenn es schlimm kommt, folgen Anabolika und Downer, Blut- oder sogar Gendoping. In fast allen Disziplinen greifen inzwischen Athleten zu verbotenen Substanzen und Methoden, um Erfolge wahrscheinlicher zu machen. Besonders betroffen ist der Spitzensport – und das nicht nur in Russland. Doch die Gier nach Ruhm und Geld hat auch ihren Preis: Es gibt extreme Fälle von körperlichen Folgeschäden. Ein Fakt, der offensichtlich nur bedingt abschreckt. Und die nationalen Anti-Doping Agenturen schauen häufig scheinbar machtlos zu. Noch immer können sie der Entwicklung zu wenig entgegensetzen. Verwaltungswissenschaftler der Universität Potsdam untersuchen, warum. Sie wollen wissen, wie die Leistungsfähigkeit der Agenturen mit ihrer Organisationsstruktur und den Rahmenbedingungen zusammenhängt.",851
2017-02-08,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-08-musikarbeit-in-inklusion-und-integration,08.02.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/7/6/csm_DSC02487_eberhard_gernandt_artikel_e1745f6c5b.jpg,No abstract found.,0
2017-02-09,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-09-wipcad-workshop-micro-moves-in-international-institutions-0910-february-2017-potsdam,09.02.2017,No author found.,No image found.,No abstract found.,0
2017-02-10,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-10-zehn-fragen-fuer-ein-buch-wissenschaft-technik-und-medien-im-werk-alfred-doeblins-im-ko,10.02.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/d/e/csm_Mitidieri_mit_Buch_Querformat_artikel_1acf6be362.jpg,"Zehn Fragen für ein Buch – gestellt an Gaetano Mitidieri, Autor von „Wissenschaft, Technik und Medien im Werk Alfred Döblins im Kontext der europäischen Avantgarde“. Universitätsverlag Potsdam, 2016.",199
2017-02-13,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-13-klimabilder-im-netz-volkswagenstiftung-foerdert-forschungskooperation-der-uni-potsdam-f,13.02.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/6/2/csm_image001_ipcc_neues_d96f8c5816.jpg,"Klimabilder im Internet stehen im Mittelpunkt des Projekts „New potentials for analyzing networked images – Similarity as a criterion for comparing images in image studies, computer and visualization science using the example of climate images on the web“, das die VolkswagenStiftung in den kommenden drei Jahren mit insgesamt 425.000 Euro fördert. Bilder des Klimas und des Klimawandels sind ein Forschungsschwerpunkt der Medienökologin Prof. Dr. Birgit Schneider (Institut für Künste und Medien der Universität Potsdam), die im Rahmen des Projekts mit Sebastian Meier (Interaction Design Lab der Fachhochschule Potsdam) und Dr. Thomas Nocke (Potsdam-Institut für Klimafolgenforschung e. V.) zusammenarbeiten wird.",715
2017-02-13,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-13-change-management-vortrag-und-diskussion,13.02.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/6/6/csm_UP_Gribenitzsee_Karla_Fritze_buehne_051e6f5449.jpg,"„Change Management in Higher Education Organisations“ ist das Thema eines Vortrags mit Diskussion, zu dem die AG Anerkennung und das Universitätskolleg am 17. Februar um 10 Uhr auf den Campus Am Neuen Palais (Haus 9, Raum 2.16) einlädt. Dr. Tim Breitbarth von der Bournemouth University spricht über die Einführung von universitätsweit einheitlichen Anerkennungsverfahren. Die Veranstaltung findet in deutscher Sprache statt.",425
2017-02-15,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-15-wipcad-lecture-series-environmental-performance-of-democracies,15.02.2017,No author found.,No image found.,No abstract found.,0
2017-02-15,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-15-fontane-200-wie-stadt-land-und-universitaet-das-fontane-jahr-vorbereiten,15.02.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/6/4/csm_Fontane-Archiv-Foto_Thomas_Roese_artikel_133cebc135.jpg,"2019 jährt sich der Geburtstag Theodor Fontanes zum 200. Mal. Schon jetzt sind allerorten Kenner, Verehrer und Aus-Kenner dabei, das Jubiläum vorzubereiten – und es mehr werden zu lassen als einen Erinnerungsmarathon. Ein früher Blick hinter die Kulissen.",255
2017-02-16,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-16-vortrag-von-prof-dr-joachim-ludwig-am-30012017-auf-der-fachtagung,16.02.2017,No author found.,No image found.,No abstract found.,0
2017-02-17,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-17-umfrage-zur-studienqualitaet,17.02.2017,No author found.,No image found.,No abstract found.,0
2017-02-22,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-22-vom-studium-in-die-online-redaktion-tauschtag-im-referat-fuer-presse-und-oeffentlichkei,22.02.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/d/5/csm_tausch_fuer_einen_tag_2_foto_silvana_seppae_b0f75d9d95.jpg,"Im Rahmen des Projektes „Tausch für einen Tag“ des Career Service der Universität Potsdam bekamen die Studentinnen Lê und Ines Kengne Feussi die Gelegenheit, einen Tag Redaktions-Luft im Referat für Presse- und Öffentlichkeitsarbeit zu schnuppern. Die Linguistik-Studentinnen erhielten einen Einblick in die Arbeit der Content Managerin Silvana Seppä und kamen mit den Mitarbeitern des Referates zu deren Aufgaben und den Herausforderungen der Öffentlichkeitsarbeit im Spannungsfeld zwischen „Print“ und „Digital“ ins Gespräch. Hier berichten sie von ihren Erfahrungen:",569
2017-02-22,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-22-woran-glauben-nicht-religion-in-ostdeutschland,22.02.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/8/2/csm_12-418_foto_karla_fritze_artikel_9a59685f08.jpg,"Zwischen 2012 und 2015 besuchten der Religionswissenschaftler Prof. Dr. Johann Ev. Hafner und seine damalige Mitarbeiterin, Prof. Dr. Irene Becci, mit ihren Studierenden religiöse Gemeinschaften in Potsdam. Als konfessionskundliches Unterfangen begonnen, weitete sich das Seminarprojekt auf alle Religionen und sogar auf den Graubereich der Esoterik und Lebenshilfe aus. Ähnliche Projekte einer „religiösen Stadtkartierung“ gab es bereits in Leipzig und Berlin; und ein vergleichbares Projekt läuft derzeit auch in Genf.",520
2017-02-22,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-22-wipcad-lecture-series-using-science-to-inform-policy-practice-and-individual-decision-m,22.02.2017,No author found.,No image found.,No abstract found.,0
2017-02-22,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-22-besondere-botschafter-empfang-fuer-die-sportlerinnen-und-sportler-der-universitaet-pots,22.02.2017,No author found.,No image found.,No abstract found.,0
2017-02-23,https://www.uni-potsdam.de/de/nachrichten/detail/2017-02-23-hollyhood-hip-hop-social-justice-studentisches-filmfestival-vom-7-bis-12-maerz-im-filmm,23.02.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/6/4/csm_BouncingCats_Artikel_3584985bc0.jpg,No abstract found.,0
2017-03-02,https://www.uni-potsdam.de/de/nachrichten/detail/2017-03-02-gruene-staedte-verstehen-wie-die-auswirkungen-der-urbanisierung-auf-die-umwelt-in-ein-m,02.03.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/2/b/csm_Fotolia_97059826_Iakov_Kalinin_Artikel_2482170bb5.jpg,"Die Welt ist ein Dorf – das war mal. Die Welt ist eine Stadt! 2008 lebten weltweit erstmals mehr Menschen in Städten als „auf dem Land“. Laut einer UNO-Studie werden es 2050 rund 75 Prozent der Bevölkerung sein. In Europa ist dies schon jetzt der Fall, in den USA wohnen sogar vier von fünf Menschen in Städten, Tendenz steigend. Städte sind immer schon Wachstumsmotoren, Ausgangspunkte struktureller Veränderungen und Zentren des Fortschritts. Doch wie sich dieser schier unaufhaltsame Prozess der Urbanisierung auf die Umwelt auswirkt und wie er sich – positiv – beeinflussen lässt, ist bislang kaum erforscht. Der Potsdamer Volkswirtschaftler Prof. Dr. Rainald Borck will ein Modell entwickeln, mit dem sich untersuchen lässt, wie umweltfreundlich oder -schädlich Städte eigentlich sind und mithilfe welcher Instrumente sie möglicherweise „grüner“ gemacht werden könnten.",874
2017-03-02,https://www.uni-potsdam.de/de/nachrichten/detail/2017-03-02-frauenmentoring-feiert-erste-alumnae-reunion,02.03.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/5/b/csm_mentoring_barcamp-15_foto_Nina_Tschirner_artikel_da8035a540.jpg,No abstract found.,0
2017-03-03,https://www.uni-potsdam.de/de/nachrichten/detail/2017-03-03-unterwegs-in-den-anden-1-maerz-2017-erstkontakt-mit-wein-und-anden,03.03.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/e/2/csm__1_panorama_in_medoza_Foto_Julia_pommerencke_artikel_958bd397a7.jpg,No abstract found.,0
2017-03-05,https://www.uni-potsdam.de/de/nachrichten/detail/2017-03-05-unterwegs-in-den-anden-2-maerz-2017-in-begleitung-von-san-martin,05.03.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/4/a/csm_Ruta_7_Foto_Heiko_Pingel_artikel_074f6997d3.jpg,No abstract found.,0
2017-03-06,https://www.uni-potsdam.de/de/nachrichten/detail/2017-03-06-unterwegs-in-den-anden-3-maerz-2017-auf-den-spuren-darwins-zum-dach-amerikas,06.03.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/9/7/csm_gruppenbild_der_strategy_fieldschool_leonardo_escalante_neues_1c9c08a39b.jpg,No abstract found.,0
2017-03-07,https://www.uni-potsdam.de/de/nachrichten/detail/2017-03-07-unterwegs-in-den-anden-4-maerz-2017-zwischen-zwei-kordilleren,07.03.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/f/4/csm__4_henry_wichura_neues_8e6a947158.jpg,No abstract found.,0
2017-03-08,https://www.uni-potsdam.de/de/nachrichten/detail/2017-03-08-unterwegs-in-den-anden-5-maerz-2017-der-geist-gauchito-gils-der-robin-hood-argentiniens,08.03.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/c/d/csm__2_christan_meessen_neues_f319c83ca9.jpg,No abstract found.,0
2017-03-10,https://www.uni-potsdam.de/de/nachrichten/detail/2017-03-10-unterwegs-in-den-anden-6-8-maerz-2017-show-and-tell-in-san-juan-und-mendoza,10.03.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/a/5/csm__2_Samenh%C3%BClse_Strauchpflanze_Foto_Henry_Wichura_artikel_8f6cd99f29.jpg,No abstract found.,0
2017-03-12,https://www.uni-potsdam.de/de/nachrichten/detail/2017-03-12-unterwegs-in-den-anden-9-maerz-2017-fossilien-im-schnee-des-spaetsommers,12.03.2017,No author found.,https://www.uni-potsdam.de/fileadmin/_processed_/5/c/csm__2_Artikel_Foto_Henry_Wichura_0706734ca1.jpg,No abstract found.,0
